id,name,password,stocks1,stocks2,stocks3,stocks4,stocks5,stocks6,stocks7,stocks8,stocks9,stocks10,stocks11,stocks12,stocks13,stocks14,stocks15,amount_left,ini_amount
1,ASTER,123inv1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
2,CARNATIONS,123inv2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
3,DAFFODILS,123inv3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
4,LAVENDER,123inv4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
5,ORCHID,123inv5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
6,PETUNIA,123inv6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
7,TULIP,123inv7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
8,ZINNIA,123inv8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
9,DAISY,123inv9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
10,LILAC,123inv10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
11,LILY,123inv11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
12,IRIS,123inv12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
13,ROSE,123inv13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
14,chairperson,123inv14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
15,CS15,123inv15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
